id,course
171,Công nghệ gia công trên các máy chuyên dùng
172,Chế tạo bồn công nghiệp
173,Công nghệ hàn và thực nghiệm
174,Quản lý và kiểm tra chất lượng mối hàn
175,Toán kỹ thuật nâng cao
176,Cơ lưu chất
177,Nhiệt động học ứng dụng
178,Vật liệu ứng dụng
179,Động lực học hệ thống máy
180,Đồ án kỹ thuật
181,Mô hình hóa thiết kế kỹ thuật
182,Thực tập tốt nghiệp/ Đồ án tốt nghiệp
183,Kỹ thuật cơ sở 1
184,Thực hành kỹ thuật cơ sở 1
185,Ứng dụng điện và điện tử
186,Thực hành ứng dụng điện và điện tử
187,Kỹ thuật cơ sở 2
188,Thực hành giao tiếp máy tính
189,Kỹ thuật điện tử
190,Thực hành điện tử cơ bản
191,Đồ án 1
192,Nguyên lý điện nâng cao
193,Nguyên lý hệ thống rô bốt và điều khiển tự động bằng máy tính
194,Nguyên lý kỹ thuật điện và điện tử 1
195,Toán kỹ thuật
196,Nguyên lý kỹ thuật điện và điện tử 2
197,Kỹ thuật lập tiến độ và kế hoạch
198,Thiết kế trên máy tính để chế tạo
199,Sử dụng các phương pháp bảo vệ điện cho kỹ thuật vận hành
200,Dịch vụ và lắp đặt điện
201,Cung cấp và phân phối điện năng
202,Kiểm tra và đo lường hệ thống điện điện tử
203,Ứng dụng hệ thống điều khiển
204,Lập trình điều khiển tự động hóa PLC cơ bản và nâng cao
205,Nguyên lý các mạch tương tự
206,Mạch tuần tự và logic tích hợp
207,Hệ thống vi xử lý cơ bản
208,Toán nâng cao cho kỹ thuật điện điện tử
209,Nguyên lý kỹ thuật điện điện tử nâng cao
210,Dự án kỹ thuật
211,Quản lý dự án
212,Thiết bị và hệ thống điều khiển
213,Thiết kế mạch kỹ thuật số
214,Sử dụng và phân phối điện năng
215,Thiết kế mạch tương tự
216,Quản trị doanh nghiệp
217,Thực tập tốt nghiệp/Đồ án tốt nghiệp
218,"Thiết kế, chế tạo bo mạch điện tử ứng dụng công nghiệp"
219,Thiết kế kỹ thuật
220,Toán Kỹ Thuật
221,Khoa Học Kỹ Thuật
222,Quản Lý Một Dự Án KT Nâng Cao
223,"Tự động hóa, robotics và thiết bị lập trình khả trình PLCs"
224,Nguyên lý kỹ thuật Điện-Điện Tử
225,Máy phát và cung cấp điện
226,Ứng dụng Cad trong KT Bảo Trì
227,Nghiên Cứu Dự Án
228,Quản lý kỹ thuật nâng cao
229,Toán nâng cao
230,Dự trữ điện và nguồn điện trong CN
231,Hệ thống điện trong CN
232,Hệ thống điều khiển phân tán
233,Hệ thống nhúng
